|Wavelength|                  Flux|            Flux_error|
|    double|                double|                double|
|        nm|           W / (m2 nm)|           W / (m2 nm)|
|      null|                  null|                  null|
      336.0 1.3000039744859796e-14 2.7984226053208815e-15 
      338.0 1.2481904505917036e-14 2.6713565524618155e-15 
      340.0 1.1118358820381363e-14  2.365678052549967e-15 
      342.0 1.0129254781428006e-14 2.1599143748739894e-15 
      344.0  1.035084359669082e-14  2.210790220764551e-15 
      346.0  1.074667514676494e-14 2.2722891202939673e-15 
      348.0 1.0288134786834867e-14  2.156230504673467e-15 
      350.0  9.545552523941848e-15 2.0333084543759347e-15 
      352.0 1.0286916931000128e-14  2.255601702473228e-15 
      354.0 1.2062689909462787e-14  2.633541302656296e-15 
      356.0 1.2082483622312475e-14 2.5709969810057053e-15 
      358.0 1.0687049004437672e-14  2.255207802563808e-15 
      360.0  1.033575738562899e-14 2.2185255960456716e-15 
      362.0 1.0827632856027022e-14 2.3422185691608373e-15 
      364.0 1.0939504989454089e-14 2.3286979302442985e-15 
      366.0 1.0462367623086284e-14 2.1888447915153058e-15 
      368.0 1.0498662749167657e-14 2.2223670994024505e-15 
      370.0 1.1678026594107188e-14  2.537303077255805e-15 
      372.0 1.2956189597452996e-14   2.82508529515459e-15 
      374.0 1.2991739649007578e-14 2.7877514176727713e-15 
      376.0 1.2182504154638002e-14  2.598516881444127e-15 
      378.0 1.2543278657118843e-14   2.75027498902183e-15 
      380.0 1.4647430111540267e-14  3.298786637730258e-15 
      382.0 1.6636074317278328e-14   3.73437477992314e-15 
      384.0   1.68465229407909e-14  3.708555539252774e-15 
      386.0 1.5885015902335202e-14 3.4613192533749352e-15 
      388.0 1.5334072231937834e-14  3.386162807428908e-15 
      390.0 1.5460449271788342e-14  3.481572491123515e-15 
      392.0 1.5486451886842785e-14 3.5079494968900597e-15 
      394.0 1.4961943740783658e-14  3.359862806215328e-15 
      396.0   1.45279608359164e-14 3.2190233180097156e-15 
      398.0 1.5102737566676186e-14 3.3240956663973086e-15 
      400.0 1.6825382669809972e-14  3.707390080036565e-15 
      402.0  1.893796277627102e-14  4.180321466785017e-15 
      404.0 2.0177805032339024e-14  4.447280726608661e-15 
      406.0 2.0024944965168026e-14  4.395102230194786e-15 
      408.0 1.8912953647187817e-14 4.1348951925264054e-15 
      410.0 1.7838096088637366e-14 3.8995700736481405e-15 
      412.0  1.762022944877581e-14  3.867503642203142e-15 
      414.0   1.84364506078511e-14 4.0619506514062774e-15 
      416.0 1.9625857972205513e-14  4.323114773596917e-15 
      418.0  2.042085136399399e-14 4.4806662962226865e-15 
      420.0 2.0392944690640123e-14  4.452501343496859e-15 
      422.0 1.9664010235720864e-14  4.282296808571903e-15 
      424.0 1.8736566943161802e-14  4.089814700269462e-15 
      426.0  1.812277025392741e-14  3.982325515059137e-15 
      428.0 1.7932607325261103e-14 3.9682018754658284e-15 
      430.0 1.8046677282829996e-14  4.005845917555439e-15 
      432.0  1.816612920229033e-14 4.0235393066194155e-15 
      434.0 1.8098583813127815e-14  3.984340546544304e-15 
      436.0 1.7929266324046562e-14  3.919728381669318e-15 
      438.0 1.7881969161864518e-14  3.891353638316294e-15 
      440.0 1.8067992269633292e-14  3.929655324498297e-15 
      442.0 1.8526457710312193e-14  4.040375587447108e-15 
      444.0 1.9116364965530413e-14  4.184036746676915e-15 
      446.0 1.9623577422445673e-14  4.304731028945206e-15 
      448.0 1.9863280269374296e-14  4.356783639182535e-15 
      450.0 1.9770465538344558e-14  4.326237544158621e-15 
      452.0 1.9446946432644323e-14  4.240269746125638e-15 
      454.0 1.9072771513392038e-14  4.144996277511058e-15 
      456.0 1.8804687699463834e-14  4.080031902142317e-15 
      458.0 1.8769542778310543e-14  4.074791040566213e-15 
      460.0  1.891908381544405e-14  4.116794366684937e-15 
