|Wavelength|                  Flux|            Flux_error|
|    double|                double|                double|
|        nm|           W / (m2 nm)|           W / (m2 nm)|
|      null|                  null|                  null|
      336.0 6.6510505829451015e-15 1.3640353762453657e-15 
      338.0  6.397327456344883e-15  1.277681823478003e-15 
      340.0 5.7750087255505154e-15 1.1397506388593867e-15 
      342.0 5.2617145547787474e-15 1.0306026785847002e-15 
      344.0 5.2998792195149095e-15 1.0279668478430563e-15 
      346.0  5.449941682586237e-15  1.057142378172113e-15 
      348.0 5.2293079513397376e-15 1.0208025133824075e-15 
      350.0  4.901874840220826e-15  9.489874018344885e-16 
      352.0  5.326621368079028e-15 1.0078588685344218e-15 
      354.0  6.222902481882439e-15 1.1765080704571208e-15 
      356.0  6.111641507402943e-15  1.173631724492795e-15 
      358.0  5.232777778609622e-15 1.0050277314257175e-15 
      360.0  4.986047400408457e-15  9.414724135342653e-16 
      362.0  5.399599985392437e-15 1.0256585405751274e-15 
      364.0   5.85231406803541e-15 1.1493632550573725e-15 
      366.0    6.0537661657719e-15 1.2190554676270285e-15 
      368.0  6.268261362235075e-15 1.2458856922817825e-15 
      370.0  6.606183796177284e-15 1.2703896751738805e-15 
      372.0  6.659668556324713e-15 1.2712197003521834e-15 
      374.0  6.107843328449508e-15 1.1945397624372437e-15 
      376.0  5.394876003771789e-15 1.0730606946206413e-15 
      378.0 5.3691787846626985e-15 1.0328169195551878e-15 
      380.0  5.881548344404398e-15  1.081749850995683e-15 
      382.0  5.861346689528188e-15 1.0721862033107751e-15 
      384.0    4.9814396205725e-15  9.364215192863328e-16 
      386.0  4.230506549197242e-15  8.105135410188134e-16 
      388.0 4.4950648258645395e-15  8.458033881048067e-16 
      390.0 5.3799822770254145e-15 1.0073994351138696e-15 
      392.0  5.961471200777267e-15 1.1441649102514543e-15 
      394.0  5.924717504152483e-15 1.1832394194865103e-15 
      396.0   5.81376784261297e-15 1.2009138185050336e-15 
      398.0   6.32045874505436e-15 1.3114042712944748e-15 
      400.0  7.555395409025727e-15  1.540736686824214e-15 
      402.0   9.00187801855863e-15 1.8111016518448967e-15 
      404.0  9.886811652399463e-15 1.9873483865603713e-15 
      406.0  9.925135916130896e-15  2.010920541715707e-15 
      408.0  9.430161114789222e-15 1.9277475177950843e-15 
      410.0   9.00158811386923e-15  1.841906476242719e-15 
      412.0  9.046326140142573e-15 1.8329561461306436e-15 
      414.0  9.540247080579858e-15 1.9095787691439356e-15 
      416.0 1.0023688873272225e-14 1.9957941683491193e-15 
      418.0 1.0084769881147241e-14  2.014598392310714e-15 
      420.0  9.623240485490528e-15  1.938606478871416e-15 
      422.0   8.89654083880531e-15 1.8065527975187793e-15 
      424.0  8.316844134986636e-15 1.6918126010690165e-15 
      426.0  8.172404675500187e-15  1.652604640688565e-15 
      428.0   8.42349616701686e-15  1.690691625426886e-15 
      430.0  8.852190648114821e-15 1.7737691525437796e-15 
      432.0   9.18866656628107e-15  1.851893321592653e-15 
      434.0  9.306316044692218e-15  1.894880951837959e-15 
      436.0  9.302951124078334e-15  1.912951999968973e-15 
      438.0  9.378600321426737e-15  1.937888847099298e-15 
      440.0  9.648294495339542e-15 1.9892205427478888e-15 
      442.0  1.013479520301177e-14 2.0749059696284224e-15 
      444.0 1.0721223107596049e-14 2.1795185406261704e-15 
      446.0 1.1239702019790314e-14 2.2771662701490763e-15 
      448.0 1.1556728319122764e-14  2.344548006954729e-15 
      450.0 1.1634844444609092e-14 2.3724852327101112e-15 
      452.0 1.1552439670365085e-14 2.3716379358802177e-15 
      454.0 1.1435271496996099e-14  2.361330978933618e-15 
      456.0 1.1382068870489893e-14  2.356879853080916e-15 
      458.0  1.145776490374443e-14 2.3700053591744145e-15 
      460.0 1.1613708437670475e-14 2.3926319184266043e-15 
      462.0 1.1791442860339631e-14 2.4169888476391977e-15 
