|Wavelength|                  Flux|            Flux_error|
|    double|                double|                double|
|        nm|           W / (m2 nm)|           W / (m2 nm)|
|      null|                  null|                  null|
      336.0  1.000539313283192e-14 1.0796049922356122e-15 
      338.0  9.457901071290113e-15 1.0094876880932261e-15 
      340.0  8.317444653277945e-15   8.77757914126821e-16 
      342.0    7.5479537361652e-15  7.943221824966113e-16 
      344.0  7.761579613249597e-15  8.117903806835665e-16 
      346.0  8.155218594819389e-15  8.639776733740798e-16 
      348.0   7.89299519198809e-15  8.531434258013964e-16 
      350.0  7.249279145722433e-15   7.84033980567798e-16 
      352.0  7.460619937306705e-15  8.031253106022481e-16 
      354.0  8.425711205352143e-15   9.11602636213559e-16 
      356.0  8.482644393906068e-15  9.182304945070764e-16 
      358.0  7.732753829493233e-15  8.309183975402529e-16 
      360.0  7.555868041345662e-15  8.055686045921768e-16 
      362.0  7.719660262527689e-15  8.329858029622576e-16 
      364.0   7.56069050689118e-15  8.309629359363759e-16 
      366.0  7.145534538580647e-15  7.913501353803329e-16 
      368.0  7.226201433240666e-15  7.970389888300945e-16 
      370.0  8.084599825250913e-15  8.910759821765613e-16 
      372.0  9.012565461027802e-15 1.0095827736847687e-15 
      374.0  9.322433693563489e-15 1.0556696599038526e-15 
      376.0  9.414929943646022e-15 1.0557613309566705e-15 
      378.0 1.0461019340432261e-14 1.1503266462129603e-15 
      380.0 1.2503780868680956e-14 1.3692172921905483e-15 
      382.0 1.4226236304327718e-14 1.5782824810740657e-15 
      384.0 1.4813257676338703e-14 1.6507531630956824e-15 
      386.0 1.4815364599504764e-14 1.6263036904249195e-15 
      388.0 1.5027507366017372e-14  1.619637478605777e-15 
      390.0 1.5307133611382005e-14 1.6440090807340418e-15 
      392.0 1.5174116470838555e-14 1.6475923022724967e-15 
      394.0  1.460758288822374e-14 1.6044421839535568e-15 
      396.0 1.4323107383330525e-14 1.5708320077489296e-15 
      398.0 1.4999353669555862e-14 1.6224244899890536e-15 
      400.0  1.654645131512695e-14 1.7678900718876024e-15 
      402.0 1.8213269643208392e-14  1.941143303570921e-15 
      404.0 1.8944514533109474e-14 2.0295143482631868e-15 
      406.0 1.8415118617677136e-14  1.986906150684606e-15 
      408.0  1.709566440636556e-14 1.8519202271602474e-15 
      410.0 1.5894730930724768e-14 1.7188377535201616e-15 
      412.0  1.555973341367123e-14 1.6735969045840358e-15 
      414.0 1.6300907261567086e-14 1.7469917073158283e-15 
      416.0 1.7588985483384188e-14  1.886474566356874e-15 
      418.0  1.872671697256908e-14 2.0146745603497194e-15 
      420.0  1.919668190163838e-14  2.069602416116931e-15 
      422.0  1.888471172461658e-14 2.0348232792118968e-15 
      424.0 1.8043320168974034e-14 1.9390648059177796e-15 
      426.0 1.7079807572431215e-14 1.8316510326895277e-15 
      428.0 1.6218957493297343e-14 1.7414829994827324e-15 
      430.0  1.560359304923029e-14 1.6841522138664179e-15 
      432.0 1.5208396478941867e-14 1.6524996682240146e-15 
      434.0   1.49903450478998e-14 1.6357718970929965e-15 
      436.0 1.4993904485628206e-14 1.6350603910723824e-15 
      438.0 1.5272213720697545e-14 1.6568950999089355e-15 
      440.0 1.5753042469001433e-14 1.6978814301608279e-15 
      442.0 1.6345770047827077e-14 1.7536977503814376e-15 
      444.0 1.6889652093349398e-14  1.810521695459939e-15 
      446.0 1.7237470496421937e-14 1.8524113530040666e-15 
      448.0 1.7303737203123714e-14  1.866861180566279e-15 
      450.0 1.7099081103501617e-14  1.850507476052494e-15 
      452.0  1.674399383829398e-14 1.8130380078838545e-15 
      454.0 1.6389381727049193e-14 1.7700944291704338e-15 
      456.0 1.6144941733283927e-14 1.7354649801297076e-15 
      458.0 1.6094303709877932e-14  1.721465930320017e-15 
      460.0 1.6184568981472937e-14 1.7254734085848898e-15 
