|Wavelength|                  Flux|            Flux_error|
|    double|                double|                double|
|        nm|           W / (m2 nm)|           W / (m2 nm)|
|      null|                  null|                  null|
      336.0  2.137502874957979e-14 1.3874807651487199e-15 
      338.0 2.0361104679742757e-14  1.333784047994071e-15 
      340.0  1.818942239105415e-14 1.1969323428025588e-15 
      342.0 1.6542257293021196e-14 1.0852485120600135e-15 
      344.0 1.6712159698934402e-14 1.0908815732369264e-15 
      346.0 1.7262205955446828e-14 1.1277025814451649e-15 
      348.0 1.6653828999446916e-14 1.0938341769425504e-15 
      350.0 1.5434661232992123e-14 1.0235489528156227e-15 
      352.0  1.597989997179128e-14 1.0671331881748923e-15 
      354.0 1.7890916422289236e-14 1.1897026107784873e-15 
      356.0 1.7774422599520106e-14 1.1687898975456806e-15 
      358.0  1.612125925427178e-14 1.0513170050531016e-15 
      360.0 1.5845956866048505e-14 1.0361060112373592e-15 
      362.0  1.626416129853118e-14 1.0732855495199327e-15 
      364.0 1.5771898920158183e-14 1.0438390234465295e-15 
      366.0 1.4502899816458232e-14  9.552634655182426e-16 
      368.0 1.4291873378155528e-14   9.37946935846586e-16 
      370.0  1.602668538721983e-14 1.0624033423783632e-15 
      372.0 1.8218218091571794e-14 1.2247132688973268e-15 
      374.0 1.9198975026041533e-14 1.2990379070635153e-15 
      376.0 1.9753216775452794e-14 1.3348101330898335e-15 
      378.0  2.255761229367455e-14 1.5177980644641953e-15 
      380.0 2.7857358917388454e-14 1.8909854981942737e-15 
      382.0  3.261101890828097e-14 2.2406648780109783e-15 
      384.0 3.4696269866475834e-14 2.3919577834180818e-15 
      386.0  3.525872304034949e-14  2.418326375207673e-15 
      388.0  3.630803807765339e-14 2.4751309779611427e-15 
      390.0 3.7682059933482717e-14  2.575352148814533e-15 
      392.0 3.8129072711136246e-14  2.627975999562005e-15 
      394.0 3.7226640892902554e-14 2.5771849345155113e-15 
      396.0   3.63963642610895e-14  2.504021935355887e-15 
      398.0  3.732522235995367e-14 2.5284902800744268e-15 
      400.0 4.0173897544547975e-14 2.6843143633383734e-15 
      402.0 4.3548170126896174e-14  2.897584151622113e-15 
      404.0  4.505406668162959e-14 3.0065658196338548e-15 
      406.0    4.3728062408803e-14 2.9327940687883753e-15 
      408.0 4.0399618870683214e-14 2.7206421645576486e-15 
      410.0  3.711675525743021e-14 2.5021360958577363e-15 
      412.0  3.583017974640291e-14  2.406766373417674e-15 
      414.0  3.735369720114383e-14    2.4949749553178e-15 
      416.0 4.0637877097654336e-14  2.705821624941484e-15 
      418.0  4.393722235702613e-14  2.923807394513376e-15 
      420.0  4.567587228438168e-14   3.03819923210017e-15 
      422.0 4.5189964532864896e-14   3.00150526690764e-15 
      424.0 4.2883446892676206e-14 2.8430045648598177e-15 
      426.0   3.98339498219766e-14  2.639540778072897e-15 
      428.0   3.69089313464653e-14 2.4522114046041557e-15 
      430.0  3.479731190728432e-14 2.3254172984310735e-15 
      432.0 3.3626124014625053e-14  2.261662532777323e-15 
      434.0 3.3251283601108135e-14 2.2442097155923126e-15 
      436.0  3.356371612414018e-14 2.2616961954933244e-15 
      438.0  3.445367192490218e-14  2.307559475658705e-15 
      440.0  3.562184400737259e-14  2.366682821304613e-15 
      442.0  3.685908701175488e-14  2.431908357100659e-15 
      444.0 3.7894926914556254e-14 2.4905795733064076e-15 
      446.0  3.850966860978575e-14  2.529566276327892e-15 
      448.0  3.857630095774402e-14 2.5380023580501033e-15 
      450.0  3.811242303985629e-14 2.5127630205469205e-15 
      452.0 3.7328839330205637e-14   2.46408446478423e-15 
      454.0  3.649473757595805e-14 2.4080463926953953e-15 
      456.0   3.58180748197311e-14  2.358755006436659e-15 
      458.0 3.5496700860576125e-14 2.3310697021727445e-15 
      460.0  3.546351776699103e-14  2.322888164950523e-15 
