|Wavelength|                  Flux|            Flux_error|
|    double|                double|                double|
|        nm|           W / (m2 nm)|           W / (m2 nm)|
|      null|                  null|                  null|
      336.0  1.469194006161255e-14 1.3394160326135099e-15 
      338.0 1.4172528181710216e-14 1.3204990886656418e-15 
      340.0 1.2689163376536864e-14  1.139829181414964e-15 
      342.0 1.1604390419878109e-14 1.0192339435587851e-15 
      344.0 1.1880360963633195e-14 1.0639575602229347e-15 
      346.0 1.2352063944255122e-14 1.1135640505466729e-15 
      348.0 1.1818476793931434e-14 1.0404378289954326e-15 
      350.0 1.0877798523689367e-14  9.528890092199392e-16 
      352.0 1.1577580577487352e-14 1.0545525607805641e-15 
      354.0 1.3549642348709991e-14 1.2439339274649248e-15 
      356.0 1.3686940907212708e-14 1.2113762715361939e-15 
      358.0 1.2209151413055213e-14  1.070186729914464e-15 
      360.0 1.1811747868373148e-14 1.0840453776591053e-15 
      362.0 1.2340003794187143e-14 1.1599233177264288e-15 
      364.0 1.2513478439774612e-14 1.1294809458852792e-15 
      366.0  1.209530048626464e-14  1.039539716193953e-15 
      368.0  1.222130063247425e-14 1.0719357929317142e-15 
      370.0 1.3514482870074812e-14 1.2662485986262988e-15 
      372.0 1.4843778188035427e-14 1.3961623591098783e-15 
      374.0 1.4788781126602783e-14  1.310090303404693e-15 
      376.0 1.3788336008876607e-14 1.1685971437335795e-15 
      378.0 1.4015361418250605e-14 1.2472662387252776e-15 
      380.0 1.6081362432101657e-14  1.557800035822192e-15 
      382.0  1.801948011926836e-14  1.745982737931649e-15 
      384.0 1.8106622867217342e-14 1.6487724397668294e-15 
      386.0 1.7021135871124716e-14 1.4831529439067624e-15 
      388.0 1.6419754309451145e-14 1.4719385750956222e-15 
      390.0 1.6526425922311555e-14 1.5861575950532037e-15 
      392.0  1.649478871298419e-14 1.6278668598929736e-15 
      394.0 1.5888514359560496e-14 1.5264801315739868e-15 
      396.0 1.5450495518570245e-14 1.4221166341620782e-15 
      398.0  1.617993768996357e-14 1.4679476229403092e-15 
      400.0 1.8188858920330495e-14 1.6856403623162183e-15 
      402.0  2.060681969226897e-14  1.960006313718383e-15 
      404.0   2.20415344891213e-14 2.1092887566758563e-15 
      406.0 2.1940023018725947e-14  2.068369971920688e-15 
      408.0 2.0797555797250392e-14 1.9151910328420478e-15 
      410.0 1.9704539628187443e-14 1.7894938641914388e-15 
      412.0  1.953275114901224e-14  1.787359469767394e-15 
      414.0 2.0444555137588237e-14 1.9123825749898494e-15 
      416.0 2.1700745115025654e-14 2.0644140597390918e-15 
      418.0   2.24768026669652e-14  2.139688232801103e-15 
      420.0 2.2342099801186292e-14 2.0993886350818797e-15 
      422.0  2.147026355258017e-14 1.9838514276598455e-15 
      424.0 2.0433235382016703e-14  1.870670110223381e-15 
      426.0  1.978801264927181e-14  1.820982832778798e-15 
      428.0 1.9634987258453548e-14 1.8371292702991448e-15 
      430.0  1.982196228579048e-14  1.885678285397687e-15 
      432.0  2.001055075310098e-14 1.9155044376725724e-15 
      434.0 1.9990198454768562e-14 1.9008864050041276e-15 
      436.0 1.9859912635569372e-14  1.861115079202613e-15 
      438.0 1.9867989208438736e-14  1.835739754126531e-15 
      440.0  2.013167573714197e-14 1.8482358110731674e-15 
      442.0    2.0685899739338e-14 1.9059546698485226e-15 
      444.0 2.1369803081040437e-14  1.989144451660319e-15 
      446.0  2.194907471114306e-14  2.065067818944382e-15 
      448.0  2.222820702869546e-14 2.1044193392362293e-15 
      450.0 2.2145747904985166e-14 2.0959988391579773e-15 
      452.0 2.1820835657189607e-14  2.052927871872601e-15 
      454.0 2.1451110038273147e-14 2.0005476561828135e-15 
      456.0 2.1200470345850686e-14  1.961733457357395e-15 
      458.0 2.1197327924923832e-14 1.9534660026697133e-15 
      460.0 2.1377406641822947e-14 1.9709231406612006e-15 
