|Wavelength|                  Flux|            Flux_error|
|    double|                double|                double|
|        nm|           W / (m2 nm)|           W / (m2 nm)|
|      null|                  null|                  null|
      336.0  4.827146311282171e-16  6.026288078826471e-17 
      338.0  4.902513353116579e-16  6.215234497352774e-17 
      340.0  4.387684825560535e-16  5.905913659784505e-17 
      342.0 3.5043212356328705e-16 4.5243256181804776e-17 
      344.0  3.184008878441697e-16  3.618824441819465e-17 
      346.0 3.4372813310186173e-16 3.9625956324706314e-17 
      348.0  3.578808060308927e-16 4.5536035247224436e-17 
      350.0 3.4204461490641717e-16  4.443772964535893e-17 
      352.0  3.734298706704613e-16  4.450999258197238e-17 
      354.0  4.531135274362759e-16  5.290156223556272e-17 
      356.0  4.359692963608386e-16  5.430080091790168e-17 
      358.0 3.2193884294634117e-16 4.1422991449693846e-17 
      360.0  2.611431651122652e-16  3.124478628349867e-17 
      362.0 2.9014405893388927e-16 3.3323950571156646e-17 
      364.0 3.3989468007913856e-16  4.162475593033298e-17 
      366.0 3.4633884416885244e-16  4.475100937597343e-17 
      368.0 3.3014141167822665e-16  4.175318373289397e-17 
      370.0 3.3685650123796184e-16  3.886683695597695e-17 
      372.0  3.429070384220271e-16  4.030955827109827e-17 
      374.0  2.922019433574545e-16  3.726686540882557e-17 
      376.0  2.111907466832743e-16  3.128676565249011e-17 
      378.0  2.007996912763418e-16  3.001552775956709e-17 
      380.0   2.74876999611031e-16 3.2752704684449193e-17 
      382.0 3.1025698498330843e-16 3.8411760303329623e-17 
      384.0 2.2637965967864055e-16  3.005192107791768e-17 
      386.0 1.1688276091869112e-16 2.1912265312532414e-17 
      388.0 1.1305445726110363e-16 1.9204774169876843e-17 
      390.0  2.046872216950158e-16 2.4332899123880495e-17 
      392.0  2.828587932766117e-16  3.710417900140923e-17 
      394.0  2.863916219674771e-16 3.7281076991297784e-17 
      396.0  2.563452506183868e-16 3.1139511791605934e-17 
      398.0 2.7163764217534162e-16  3.160922439541879e-17 
      400.0  3.620929886525287e-16  4.102048206186295e-17 
      402.0  4.857747708867616e-16  5.850901594491982e-17 
      404.0  5.693378712470618e-16  7.198243591397239e-17 
      406.0  5.809528854134452e-16  7.277801944920608e-17 
      408.0   5.50197487474332e-16  6.568014383125557e-17 
      410.0   5.34795438115769e-16  6.135296477206181e-17 
      412.0  5.673069718147136e-16  6.418389438850174e-17 
      414.0  6.303683467374248e-16  7.325700970498269e-17 
      416.0  6.688088733958533e-16  8.223602164273055e-17 
      418.0  6.431159364542745e-16  8.235336079166997e-17 
      420.0  5.603512799767069e-16  7.140990162688649e-17 
      422.0  4.711229205540793e-16  5.705770046116503e-17 
      424.0 4.3500570929681977e-16  5.052811417274097e-17 
      426.0  4.815307275190434e-16  5.586585096272365e-17 
      428.0  5.918360853445348e-16  6.934527203441497e-17 
      430.0  7.191940348456703e-16  8.575528365833757e-17 
      432.0  8.167697426757261e-16 1.0001498268469113e-16 
      434.0  8.640168921575625e-16 1.0984196075101092e-16 
      436.0  8.754544015785672e-16 1.1550626037462727e-16 
      438.0  8.833129166099523e-16 1.1717893171359303e-16 
      440.0  9.116800877164157e-16  1.155571787339267e-16 
      442.0   9.70586413799132e-16 1.1542050242583405e-16 
      444.0 1.0508031639018225e-15   1.21396263448903e-16 
      446.0 1.1348367887035281e-15 1.3169350368958069e-16 
      448.0 1.2080878916523903e-15  1.409324631099755e-16 
      450.0  1.265994258569002e-15  1.472701890711523e-16 
      452.0 1.3153201399634756e-15   1.53297408303252e-16 
      454.0 1.3656862138615173e-15  1.611166668961014e-16 
      456.0  1.420982138907578e-15 1.6922679042077128e-16 
      458.0 1.4804198917991144e-15 1.7537159551851592e-16 
      460.0 1.5311456402486218e-15 1.7853481838214014e-16 
      462.0 1.5632620563705024e-15  1.799196584136686e-16 
