|Wavelength|                  Flux|            Flux_error|
|    double|                double|                double|
|        nm|           W / (m2 nm)|           W / (m2 nm)|
|      null|                  null|                  null|
      336.0  4.882581845906443e-15  1.880892563525427e-15 
      338.0  4.780070503864834e-15   1.87483195342661e-15 
      340.0  4.125912570871788e-15 1.5496734654665282e-15 
      342.0 3.7515528145488775e-15 1.3985506792862376e-15 
      344.0  3.983497444116283e-15 1.5535430993262714e-15 
      346.0  4.141417846929531e-15 1.6205149515940904e-15 
      348.0 3.8101653850987135e-15 1.4233081610730816e-15 
      350.0 3.5181649183578336e-15 1.3063006034513387e-15 
      352.0  3.987066306026065e-15 1.5763820754537366e-15 
      354.0  4.642993150504983e-15 1.8302265088380596e-15 
      356.0  4.376767093510648e-15 1.6094714165331238e-15 
      358.0  3.847871392795323e-15 1.4042185644584433e-15 
      360.0 3.9926787398577876e-15  1.582790937767027e-15 
      362.0 4.2815587319970585e-15  1.733366454817644e-15 
      364.0  4.090308748556716e-15 1.5356009188443434e-15 
      366.0  3.747482996460513e-15 1.3027214231273968e-15 
      368.0 4.0293799623994664e-15 1.5104793057166243e-15 
      370.0 4.8386867132725164e-15 1.9991081559999512e-15 
      372.0  5.169860894856356e-15  2.099763269057726e-15 
      374.0  4.615564690790297e-15 1.6823259011978336e-15 
      376.0  4.078685676158468e-15 1.4164036470061118e-15 
      378.0  4.640227795596195e-15 1.8749106604507163e-15 
      380.0 5.8460000732212125e-15  2.600181194356087e-15 
      382.0  6.227977110010377e-15 2.6664115377428524e-15 
      384.0  5.493272505700495e-15  2.092946679641044e-15 
      386.0  4.841336433626379e-15 1.7502882669048459e-15 
      388.0  5.094554584824725e-15 2.0533381773468875e-15 
      390.0  5.669936244047788e-15  2.485770528223851e-15 
      392.0 5.6933270042828224e-15  2.465330823067412e-15 
      394.0  5.106249352826557e-15  2.035203967644686e-15 
      396.0  4.641730590691705e-15  1.701505916879156e-15 
      398.0  4.952229215516196e-15 1.8457322552600394e-15 
      400.0  5.973665789824811e-15  2.391328598999585e-15 
      402.0  7.068368718425032e-15  2.931535605855466e-15 
      404.0  7.532746347430328e-15  3.087486274840313e-15 
      406.0  7.246489607479163e-15  2.848414417256333e-15 
      408.0  6.643196967608167e-15  2.504370133311928e-15 
      410.0  6.301985941942774e-15 2.3733037623361144e-15 
      412.0 6.4961691543345045e-15 2.5543088426920392e-15 
      414.0 7.0642219284562496e-15  2.890632348224851e-15 
      416.0  7.538412028148574e-15 3.1043905066451034e-15 
      418.0  7.592412535437093e-15 3.0502034200811966e-15 
      420.0  7.229600089905206e-15 2.7939157397744815e-15 
      422.0  6.731321058628332e-15 2.5348171977330695e-15 
      424.0  6.421869990624439e-15  2.447858881493771e-15 
      426.0 6.4443907504835635e-15 2.5649635251387483e-15 
      428.0  6.661951306257799e-15 2.7551958625797497e-15 
      430.0   6.85001132241427e-15  2.858924637893775e-15 
      432.0  6.830647045358019e-15 2.7893874404974957e-15 
      434.0  6.603533740636887e-15 2.5875654607525425e-15 
      436.0 6.3463503669803535e-15 2.3881029595486546e-15 
      438.0  6.262982179573917e-15  2.317876688030256e-15 
      440.0  6.425599235825083e-15  2.413330245911624e-15 
      442.0  6.781490112536906e-15  2.621432445387958e-15 
      444.0  7.165391114752465e-15  2.826245121243789e-15 
      446.0  7.407915157585674e-15  2.923938334074042e-15 
      448.0  7.419344112950664e-15 2.8754572791863733e-15 
      450.0  7.225909191398596e-15 2.7177239564056255e-15 
      452.0  6.952936907010004e-15   2.53821171544321e-15 
      454.0 6.7434633186521826e-15  2.422811380538498e-15 
      456.0 6.6848158927224335e-15 2.4159554355662916e-15 
      458.0 6.7964185458598264e-15 2.5126236921979912e-15 
      460.0   6.99661218680489e-15  2.652209781711102e-15 
      462.0  7.190024333674378e-15  2.766164529355338e-15 
