|Wavelength|                  Flux|            Flux_error|
|    double|                double|                double|
|        nm|           W / (m2 nm)|           W / (m2 nm)|
|      null|                  null|                  null|
      336.0 3.3219794149548134e-15  9.417525792733415e-16 
      338.0  3.170716182280591e-15  8.813132484975585e-16 
      340.0 2.8034248506182303e-15  7.604922302826587e-16 
      342.0 2.5517195172971965e-15   6.83052996468732e-16 
      344.0 2.6385739835986062e-15  7.105888660363225e-16 
      346.0  2.771373636644281e-15  7.578395394978527e-16 
      348.0 2.6586205259637858e-15  7.290053313347023e-16 
      350.0  2.455339179303621e-15  6.620682332820787e-16 
      352.0 2.6402143119288864e-15  7.042924225416549e-16 
      354.0  3.091705751880959e-15  8.324409037132138e-16 
      356.0 3.0724121313052605e-15  8.353269142773789e-16 
      358.0  2.690046911577709e-15   7.30704608741421e-16 
      360.0 2.6054477547711662e-15  7.058880158796196e-16 
      362.0 2.7757335787889963e-15  7.541332357171979e-16 
      364.0  2.878524604980949e-15   7.83332321184552e-16 
      366.0  2.843963522142503e-15   7.71371431712707e-16 
      368.0 2.9190352596227547e-15  7.923554491632279e-16 
      370.0  3.206592077700285e-15  8.801614614174858e-16 
      372.0 3.4165111389419854e-15  9.453555548239105e-16 
      374.0 3.2598837719797357e-15  8.966194203370222e-16 
      376.0 2.9212590842386138e-15  7.883227101468022e-16 
      378.0 2.9213118592262913e-15  7.838322264931009e-16 
      380.0 3.3083572767420617e-15  9.048526798517017e-16 
      382.0 3.5357747776699816e-15  9.780299967050535e-16 
      384.0  3.273660304190113e-15  8.944823431299725e-16 
      386.0 2.8718908626320147e-15  7.612848222126946e-16 
      388.0 2.8110492263403862e-15  7.373993212641841e-16 
      390.0 3.0494677130248432e-15  8.233431117365045e-16 
      392.0  3.229730154924088e-15   9.00873758350402e-16 
      394.0 3.1773797313111685e-15  8.996925272916941e-16 
      396.0 3.0912270143519654e-15  8.698214752468539e-16 
      398.0 3.2708369856833096e-15  9.041561629447063e-16 
      400.0  3.787145450252193e-15 1.0388967164643546e-15 
      402.0   4.43351507050721e-15  1.225276190667586e-15 
      404.0  4.858366647758699e-15 1.3589816960969363e-15 
      406.0 4.9062420841923266e-15 1.3838427957186571e-15 
      408.0 4.6874931303244145e-15 1.3224482273308124e-15 
      410.0 4.4646507601158785e-15  1.249172652243746e-15 
      412.0 4.4451766044151756e-15  1.230903438248026e-15 
      414.0  4.658084494131217e-15  1.285249094809033e-15 
      416.0  4.917765212625697e-15 1.3624588612332172e-15 
      418.0 5.0281650699266745e-15 1.4022351087927896e-15 
      420.0  4.904689998180543e-15 1.3737182513619862e-15 
      422.0  4.618992072754716e-15 1.2928789822449993e-15 
      424.0   4.33481490301776e-15 1.2064446758245453e-15 
      426.0  4.194719463105352e-15 1.1594185968156794e-15 
      428.0  4.214503516357943e-15 1.1620769362823444e-15 
      430.0 4.3338694355189865e-15 1.1993423413919499e-15 
      432.0  4.449430774351288e-15  1.239233675217093e-15 
      434.0  4.498192676022209e-15 1.2594477611019207e-15 
      436.0  4.503280359268996e-15 1.2633317061740905e-15 
      438.0  4.533007096772516e-15  1.269642174070181e-15 
      440.0   4.62715693318239e-15 1.2917352437375003e-15 
      442.0 4.8000628738271686e-15 1.3373343259446996e-15 
      444.0  5.012333342814804e-15 1.3982739999307646e-15 
      446.0  5.201704426968473e-15 1.4571194673131948e-15 
      448.0  5.313993672746386e-15 1.4960181332312344e-15 
      450.0   5.32937491826759e-15 1.5059511642083334e-15 
      452.0 5.2752096332223675e-15 1.4922513519100335e-15 
      454.0 5.2011153602268705e-15 1.4685054086713312e-15 
      456.0  5.150126350203494e-15 1.4483468580333166e-15 
      458.0  5.156581144320575e-15 1.4441311333393114e-15 
      460.0  5.206944504807977e-15 1.4547652222378361e-15 
      462.0  5.281713819621349e-15 1.4762669047943483e-15 
