|Wavelength|                  Flux|            Flux_error|
|    double|                double|                double|
|        nm|           W / (m2 nm)|           W / (m2 nm)|
|      null|                  null|                  null|
      336.0  3.699646047744121e-15   6.33371471591769e-16 
      338.0 3.5405817858042087e-15  5.837507088767469e-16 
      340.0   3.16675229956966e-15  5.044511233230138e-16 
      342.0  2.840605726110769e-15  4.654024461012014e-16 
      344.0 2.8310865477594475e-15  4.848585183653989e-16 
      346.0 2.9038160716486505e-15  4.931547407117259e-16 
      348.0  2.805738479992454e-15  4.610518162394977e-16 
      350.0 2.6889125199690696e-15  4.420905267776052e-16 
      352.0 2.9721317016521896e-15  4.990639574582268e-16 
      354.0 3.4156049452584486e-15  5.652885952077385e-16 
      356.0 3.2311852359932946e-15  5.206053403622654e-16 
      358.0 2.6809900865203852e-15 4.3668441715119995e-16 
      360.0 2.5538772388822923e-15 4.3109419917087953e-16 
      362.0 2.8280502794827784e-15  4.755791891539675e-16 
      364.0  3.144588357869467e-15  5.141593618240989e-16 
      366.0 3.3399711149148976e-15  5.430882419898443e-16 
      368.0  3.507002976841541e-15  5.805491739918447e-16 
      370.0  3.616819583344455e-15  6.023552533128212e-16 
      372.0  3.453590471304464e-15  5.632842270414337e-16 
      374.0 2.9900322313682707e-15  4.846158261013873e-16 
      376.0  2.600870291669952e-15 4.3845871427107237e-16 
      378.0 2.6789267187172007e-15  4.695281029009428e-16 
      380.0  2.937710228401945e-15  5.024504467548266e-16 
      382.0  2.727326722581608e-15  4.424916963349485e-16 
      384.0 2.0623349223153427e-15  3.380905175281798e-16 
      386.0 1.6796717696059547e-15 2.9689754829251663e-16 
      388.0  2.011514385455667e-15 3.6435374085613887e-16 
      390.0  2.651157599419657e-15  4.559812347864999e-16 
      392.0 3.0108133615266773e-15  4.893878995105987e-16 
      394.0 2.9932798357021943e-15  4.815680578416264e-16 
      396.0  2.997304306093738e-15  5.009547526187831e-16 
      398.0 3.4184518727875187e-15  5.922099053533881e-16 
      400.0  4.248156607720072e-15  7.325411950454615e-16 
      402.0  5.126709798222639e-15  8.588056125043214e-16 
      404.0  5.616610305137466e-15  9.174751918398537e-16 
      406.0  5.616748781033626e-15  9.129506701923699e-16 
      408.0  5.363879162033647e-15  8.878966320385109e-16 
      410.0  5.201006830102775e-15  8.852795821019192e-16 
      412.0  5.303648629596302e-15  9.152065291722557e-16 
      414.0  5.594856213725633e-15  9.551598310344518e-16 
      416.0  5.795587343895629e-15   9.66219868026077e-16 
      418.0  5.717899436323343e-15  9.348582469835652e-16 
      420.0  5.382133889663154e-15   8.76596915370704e-16 
      422.0 4.9897259575825735e-15  8.238396853295352e-16 
      424.0  4.771906856476894e-15  8.042589478668546e-16 
      426.0  4.837721954490433e-15  8.230173147024703e-16 
      428.0  5.096977304787454e-15   8.58364933264175e-16 
      430.0 5.3891674973559635e-15  8.888437247050344e-16 
      432.0  5.571603293627578e-15  9.031785155893224e-16 
      434.0  5.616837547124013e-15  9.065479617898783e-16 
      436.0  5.628168544108238e-15  9.173757280171746e-16 
      438.0  5.741053704524013e-15  9.521362463578545e-16 
      440.0  6.006682095489334e-15 1.0100132602559244e-15 
      442.0  6.403552248418461e-15 1.0796041749118857e-15 
      444.0 6.8316473568375404e-15 1.1425884191317028e-15 
      446.0  7.181818498805463e-15  1.185880383188605e-15 
      448.0  7.387996446409523e-15 1.2064956060626656e-15 
      450.0  7.452917033088175e-15  1.211064366337536e-15 
      452.0  7.444938785364723e-15 1.2126354640438514e-15 
      454.0  7.444785339206347e-15 1.2220194470674253e-15 
      456.0  7.498568409784173e-15 1.2418045802556763e-15 
      458.0   7.62345462179208e-15 1.2696997298514344e-15 
      460.0   7.76765360193649e-15 1.2942302321489016e-15 
      462.0   7.88741203085673e-15 1.3086138129303036e-15 
