|Wavelength|                  Flux|            Flux_error|
|    double|                double|                double|
|        nm|           W / (m2 nm)|           W / (m2 nm)|
|      null|                  null|                  null|
      336.0 2.3784954995651264e-14 1.8172402258394256e-15 
      338.0 2.3007087796483083e-14  1.790836215617494e-15 
      340.0 2.1004476714472455e-14 1.6687982743642855e-15 
      342.0 1.9253142403763484e-14 1.5415469478537242e-15 
      344.0 1.9115591122339184e-14 1.5168683538042488e-15 
      346.0 1.9462373234058677e-14  1.528412021619475e-15 
      348.0 1.8868307332855916e-14 1.4827537809696613e-15 
      350.0 1.7569091657734632e-14  1.394675203890609e-15 
      352.0  1.787611814978636e-14 1.4311409665398983e-15 
      354.0 1.9811229608084025e-14 1.5871869917518656e-15 
      356.0 2.0083790086812767e-14  1.606041281492303e-15 
      358.0   1.86091837312552e-14 1.4823912399222524e-15 
      360.0  1.816021554429949e-14 1.4388145613904935e-15 
      362.0  1.832613940154979e-14  1.452644264570286e-15 
      364.0 1.7780961602322058e-14  1.420610667984507e-15 
      366.0 1.6479872755364386e-14 1.3279158054806264e-15 
      368.0  1.592306225657202e-14 1.2811267419118833e-15 
      370.0 1.7196986423146992e-14 1.3804370729643461e-15 
      372.0  1.946087050563297e-14 1.5846229580421776e-15 
      374.0  2.119720951640624e-14 1.7708941377946566e-15 
      376.0 2.2552012733533675e-14 1.9182404747087333e-15 
      378.0  2.564371575752923e-14 2.1707997788166248e-15 
      380.0 3.0905394945029295e-14 2.5865208477492595e-15 
      382.0  3.581535281899471e-14 2.9969288702759824e-15 
      384.0 3.8185376448586996e-14  3.218488025374097e-15 
      386.0 3.8621937203057665e-14 3.2601851782967096e-15 
      388.0  3.912787321906854e-14 3.2670022459159752e-15 
      390.0 4.0139965602606295e-14  3.307609362589033e-15 
      392.0  4.073154291077494e-14 3.3444363647528734e-15 
      394.0  4.004373661000919e-14  3.308184656368237e-15 
      396.0   3.87701254610565e-14 3.2278944445484943e-15 
      398.0  3.828401374537759e-14 3.1879889679825337e-15 
      400.0  3.916448669951662e-14 3.2313836307576147e-15 
      402.0 4.0878919371833914e-14 3.3363381676920813e-15 
      404.0 4.1739647307625373e-14  3.391811416307288e-15 
      406.0 4.0843047454029493e-14 3.3341778057653675e-15 
      408.0  3.845621862127133e-14 3.1732626112506535e-15 
      410.0  3.585422357916606e-14 2.9893936697111724e-15 
      412.0  3.448235046832827e-14 2.8815202244690717e-15 
      414.0  3.515785713366669e-14 2.9148812047011416e-15 
      416.0  3.725728364625416e-14  3.052682031224274e-15 
      418.0  3.955751677699315e-14   3.21313911109275e-15 
      420.0  4.082256076918018e-14 3.3056827335771837e-15 
      422.0 4.0437233754935515e-14 3.2795571337837927e-15 
      424.0   3.86266115855272e-14  3.145209496573669e-15 
      426.0   3.62124623129587e-14  2.961049515584018e-15 
      428.0 3.3880759552421784e-14 2.7790614057518385e-15 
      430.0  3.220965870634304e-14 2.6477369442045727e-15 
      432.0  3.128510767104086e-14 2.5768449822587133e-15 
      434.0  3.093866475394934e-14 2.5530232108807143e-15 
      436.0  3.103667074136011e-14  2.563209966283548e-15 
      438.0  3.147267376041835e-14 2.5960054334276963e-15 
      440.0  3.201817142607439e-14   2.63128671498748e-15 
      442.0  3.257911727863417e-14  2.662588855725403e-15 
      444.0  3.302374085376806e-14 2.6829127764238394e-15 
      446.0  3.324045858051007e-14  2.687963991487472e-15 
      448.0 3.3145212102542136e-14 2.6743905850126754e-15 
      450.0 3.2722700827194697e-14 2.6414800604060548e-15 
      452.0 3.2086438194869624e-14 2.5960241476952292e-15 
      454.0  3.139326593230393e-14 2.5468514807804766e-15 
      456.0  3.076858735211813e-14 2.5005522648621315e-15 
      458.0  3.036553081877098e-14 2.4675874554839445e-15 
      460.0  3.014522128800335e-14 2.4449094790825806e-15 
