|Wavelength|                  Flux|            Flux_error|
|    double|                double|                double|
|        nm|           W / (m2 nm)|           W / (m2 nm)|
|      null|                  null|                  null|
      336.0 3.0070740746728513e-15  5.594523144170223e-16 
      338.0 2.9238197972078863e-15  5.520895093802143e-16 
      340.0 2.6399215951549597e-15  5.005336493482346e-16 
      342.0 2.4365529944237327e-15  4.576829876638394e-16 
      344.0 2.4962234335431427e-15  4.643170047819156e-16 
      346.0 2.5844967748938054e-15  4.817613527839073e-16 
      348.0  2.486930227720996e-15  4.665025845032717e-16 
      350.0 2.3268346841564733e-15 4.3719460923038835e-16 
      352.0  2.466621655435055e-15  4.631466551278703e-16 
      354.0  2.797652030197135e-15  5.258808287365867e-16 
      356.0 2.7726472907001104e-15  5.205853083014222e-16 
      358.0 2.5079160553286914e-15  4.678842966494564e-16 
      360.0  2.479342782073977e-15  4.620964328599771e-16 
      362.0  2.572812204583798e-15  4.836571302519993e-16 
      364.0 2.5384681937164298e-15  4.801368852283185e-16 
      366.0 2.4087851129125904e-15  4.534373341811907e-16 
      368.0 2.4564473434823267e-15  4.558375932653975e-16 
      370.0  2.759858897323519e-15  5.125274132416198e-16 
      372.0 3.0307922638615002e-15  5.695520120629207e-16 
      374.0  3.010218212656332e-15  5.702058471101817e-16 
      376.0 2.8658160639147116e-15   5.41468830632277e-16 
      378.0 3.0537125129777507e-15   5.71715772995882e-16 
      380.0  3.618514917560756e-15  6.827234073315796e-16 
      382.0  4.083120041448736e-15  7.808100663496775e-16 
      384.0  4.120081695580775e-15  7.937347722576898e-16 
      386.0   3.93215115053292e-15  7.546696387169778e-16 
      388.0  3.864595850833537e-15  7.325325914802488e-16 
      390.0  3.920746039690544e-15 7.4225848575637525e-16 
      392.0    3.9084669684732e-15   7.47824913501751e-16 
      394.0 3.7561557075566365e-15  7.270642521531487e-16 
      396.0  3.645924312447144e-15  7.099156157369444e-16 
      398.0  3.792297741049381e-15  7.344089470889968e-16 
      400.0  4.203197114079795e-15  8.045115975004278e-16 
      402.0  4.681965487760309e-15  8.893043988263654e-16 
      404.0  4.933018131046625e-15  9.347349167926556e-16 
      406.0 4.8545505778305046e-15  9.199670016543872e-16 
      408.0  4.567569109077114e-15  8.663367935777364e-16 
      410.0  4.311365589123716e-15  8.178477506465922e-16 
      412.0  4.270840278814645e-15  8.091182787826817e-16 
      414.0  4.477837094275205e-15  8.477813547131106e-16 
      416.0  4.772336086771808e-15   9.04568259181113e-16 
      418.0  4.976106983898393e-15  9.447189726013888e-16 
      420.0  4.990196723805737e-15  9.483571791690847e-16 
      422.0  4.838573344677359e-15  9.196063668082716e-16 
      424.0 4.6289965743640045e-15  8.787338500091698e-16 
      426.0  4.472872513847104e-15  8.473782610094171e-16 
      428.0 4.3942401988621835e-15  8.315102804778079e-16 
      430.0  4.374779929409297e-15   8.28263500083839e-16 
      432.0 4.3594730900985706e-15  8.261118294524958e-16 
      434.0   4.31681233129089e-15   8.17891343218125e-16 
      436.0 4.2726522354740566e-15  8.084334701591209e-16 
      438.0  4.275584194767917e-15  8.073592861140744e-16 
      440.0  4.341078242124028e-15   8.17906768881669e-16 
      442.0  4.467167581727497e-15   8.40300228677908e-16 
      444.0  4.613680551228713e-15   8.67723207136116e-16 
      446.0   4.72937497803982e-15  8.904871871971848e-16 
      448.0  4.774611656554377e-15  9.001215408020921e-16 
      450.0  4.739676310824898e-15  8.937595911404941e-16 
      452.0  4.653147102263597e-15 8.7654155755958765e-16 
      454.0  4.559389278768496e-15   8.57297394111262e-16 
      456.0  4.494743396332545e-15  8.434974715269854e-16 
      458.0 4.4873436349607536e-15  8.409276173743149e-16 
      460.0  4.523769998800298e-15   8.47469627671066e-16 
      462.0 4.5854362642120854e-15  8.597964377992953e-16 
      464.0 4.6404233454517696e-15  8.715559280645529e-16 
