|Wavelength|                  Flux|            Flux_error|
|    double|                double|                double|
|        nm|           W / (m2 nm)|           W / (m2 nm)|
|      null|                  null|                  null|
      336.0  6.492027392903251e-18 3.1588428421011917e-18 
      338.0   5.18796669911177e-18 2.5646173221247177e-18 
      340.0 4.6683068512894184e-18 1.6146834820486544e-18 
      342.0  4.340730947256617e-18 1.4069917873487884e-18 
      344.0  4.218828818867673e-18 1.9003976791863284e-18 
      346.0  4.401885889121073e-18  2.086916961726952e-18 
      348.0  4.448517231318625e-18 1.4813488199835326e-18 
      350.0 4.0296295341536366e-18  9.683646975790554e-19 
      352.0 4.1900700573079804e-18 1.5118493887695997e-18 
      354.0  5.543334957702481e-18 2.5199162997384047e-18 
      356.0  5.981089988292523e-18  2.181677474991518e-18 
      358.0  4.465923479173912e-18 1.1185292163135363e-18 
      360.0   3.23168142733523e-18  9.374008299867575e-19 
      362.0  3.618321440119681e-18 1.6141156466639307e-18 
      364.0  4.613849613908302e-18  1.942755270340817e-18 
      366.0 4.4332036251416225e-18 1.3645061891481089e-18 
      368.0 3.3064850440198384e-18  8.427939179650275e-19 
      370.0 3.2620415908422654e-18 1.3303416555832807e-18 
      372.0  4.734434826311905e-18 2.3314227744528802e-18 
      374.0  5.460316868442869e-18 2.2937581861168113e-18 
      376.0  3.910774562142376e-18 1.0741484660165196e-18 
      378.0  2.009763946861071e-18  3.902999058916153e-19 
      380.0 2.4626883510394155e-18 7.9531469487912265e-19 
      382.0 4.5546092727235946e-18 1.8129243451182968e-18 
      384.0   5.06496375482162e-18 1.6812111779351857e-18 
      386.0 3.2813870888723296e-18  6.588313898083346e-19 
      388.0  1.829970023513422e-18 3.3452467796677515e-19 
      390.0 2.5453021420209426e-18  6.869136045880123e-19 
      392.0  4.373021369642028e-18 1.4618256693791623e-18 
      394.0  5.364307501314704e-18 1.6448304702228804e-18 
      396.0 5.0415960833018595e-18 1.3024083159433952e-18 
      398.0   4.51374785199637e-18 1.1380012185431813e-18 
      400.0 4.9708464132303766e-18 1.6039795352323681e-18 
      402.0  6.459037802034241e-18 2.5363761430879894e-18 
      404.0  7.892206956957096e-18  3.296124449700019e-18 
      406.0   8.27604742261687e-18 3.4390635711115783e-18 
      408.0   7.60231809191305e-18  3.093269182543638e-18 
      410.0  6.768716014467733e-18 2.7776154107326998e-18 
      412.0  6.695634837023542e-18 2.9097073592250453e-18 
      414.0  7.515331002312895e-18 3.4693118551202737e-18 
      416.0  8.435013607390534e-18  4.017213287557582e-18 
      418.0  8.532363132027345e-18   4.11386498471621e-18 
      420.0  7.529069972873414e-18  3.676660073809477e-18 
      422.0  6.042200220097009e-18   3.04452111386242e-18 
      424.0 5.1246978101955514e-18  2.715665290443253e-18 
      426.0  5.491291541546817e-18 2.9883092230292006e-18 
      428.0  7.009793162923948e-18  3.764276712412327e-18 
      430.0  8.894578913743591e-18  4.665261111510985e-18 
      432.0 1.0237774763844992e-17  5.277763416192467e-18 
      434.0 1.0593143272078333e-17   5.41336453622945e-18 
      436.0 1.0225724168159504e-17  5.205878490209194e-18 
      438.0  9.827950561603708e-18   4.96750482541149e-18 
      440.0 1.0004750594246753e-17 4.9564460862423155e-18 
      442.0 1.0998494185325664e-17 5.2729473508408995e-18 
      444.0 1.2559216119529341e-17  5.810177266724855e-18 
      446.0 1.4168367370512376e-17  6.354362785901433e-18 
      448.0 1.5352054850668596e-17  6.714678687284262e-18 
      450.0 1.5922323708056706e-17 6.8207972382288396e-18 
      452.0  1.604884424721243e-17  6.749370530756431e-18 
      454.0 1.6093059322067006e-17  6.653152492064273e-18 
      456.0  1.637351792422061e-17  6.666065047019389e-18 
      458.0 1.7047849369286018e-17  6.857830376161797e-18 
      460.0 1.7963830609828165e-17  7.174877087471913e-18 
      462.0 1.8856618212738495e-17  7.518367508843012e-18 
