|Wavelength|                  Flux|            Flux_error|
|    double|                double|                double|
|        nm|           W / (m2 nm)|           W / (m2 nm)|
|      null|                  null|                  null|
      336.0 6.0790986371267224e-15 1.0568156046511546e-15 
      338.0  5.898255598675775e-15 1.0264625271863937e-15 
      340.0  5.287192813847291e-15  9.044811620044258e-16 
      342.0 4.7416459310916415e-15  8.124268795034685e-16 
      344.0   4.80713477257373e-15  8.479078156612398e-16 
      346.0  5.059577027790206e-15  9.133796840357092e-16 
      348.0 4.9191520585739926e-15  8.870445803726007e-16 
      350.0  4.601169898625979e-15  8.108887998967817e-16 
      352.0 5.0140743196600395e-15  8.666196326303858e-16 
      354.0  5.905330992371492e-15 1.0257146828553087e-15 
      356.0  5.736958300502191e-15 1.0123550387201914e-15 
      358.0  4.765916415463467e-15  8.544900906746861e-16 
      360.0  4.488365253012183e-15  8.130379087045862e-16 
      362.0  4.967307890110906e-15  8.957229932710663e-16 
      364.0  5.472066396542655e-15  9.666056762821868e-16 
      366.0  5.606143094413362e-15  9.566011955622845e-16 
      368.0 5.6916706626664496e-15   9.43330736789009e-16 
      370.0   5.99355331414538e-15 1.0093471795669787e-15 
      372.0  6.120200676672575e-15  1.086736515540947e-15 
      374.0  5.605925074424368e-15  1.053656231799133e-15 
      376.0  4.819247430487572e-15  9.349845532743277e-16 
      378.0  4.719604350803686e-15  9.063513840035896e-16 
      380.0   5.30896700342645e-15  1.025680636784691e-15 
      382.0  5.453326305481366e-15 1.1275280222232263e-15 
      384.0   4.59893094236984e-15 1.0705773378986073e-15 
      386.0  3.672749882490556e-15  9.347915667714728e-16 
      388.0  3.743630819214834e-15  8.713545799526757e-16 
      390.0  4.589299715491747e-15  9.126231035799779e-16 
      392.0  5.258088695599237e-15  9.704486942600105e-16 
      394.0  5.297536418846859e-15  9.617109663478058e-16 
      396.0 5.1580151500570175e-15  9.277501565721403e-16 
      398.0  5.553943739115931e-15  9.694350753316595e-16 
      400.0  6.691495255133068e-15 1.1274459703521049e-15 
      402.0  8.125866105875881e-15 1.3450677921284562e-15 
      404.0  9.090194852414986e-15 1.5038692762104679e-15 
      406.0  9.236134184641226e-15 1.5395160627786923e-15 
      408.0  8.808917166450898e-15 1.4777463751027405e-15 
      410.0  8.382160945586447e-15 1.4037705053055168e-15 
      412.0  8.385565876178199e-15  1.391660302193163e-15 
      414.0  8.835991687262811e-15 1.4551383352886092e-15 
      416.0  9.307534237216306e-15 1.5325262016993215e-15 
      418.0  9.391138946177702e-15 1.5569705052939624e-15 
      420.0  8.970389797698135e-15  1.502045467892815e-15 
      422.0   8.28612549010467e-15 1.3973872269111164e-15 
      424.0  7.744758775704184e-15 1.3033789848841562e-15 
      426.0  7.637340622231467e-15  1.268686358240675e-15 
      428.0   7.92905528209198e-15 1.2953714357626024e-15 
      430.0  8.395739819825983e-15 1.3563691771905375e-15 
      432.0  8.756266458273632e-15 1.4100003877854112e-15 
      434.0  8.874936921244425e-15 1.4311800027159739e-15 
      436.0  8.850100142014919e-15 1.4294311555681025e-15 
      438.0  8.895253094497343e-15  1.434410632468032e-15 
      440.0  9.147770281664894e-15  1.467110310295815e-15 
      442.0  9.646521892399302e-15 1.5357077351900037e-15 
      444.0  1.027809236504182e-14 1.6254123880432347e-15 
      446.0 1.0863405846286036e-14 1.7106042751779615e-15 
      448.0 1.1249514017823916e-14 1.7678293228571111e-15 
      450.0 1.1380602268180948e-14 1.7867169422209804e-15 
      452.0 1.1325518544540666e-14 1.7756360155817994e-15 
      454.0 1.1212913692025234e-14 1.7534116147358775e-15 
      456.0 1.1154093431765748e-14  1.738183530982258e-15 
      458.0 1.1228717139068987e-14 1.7444711346107397e-15 
      460.0 1.1399301405813373e-14  1.768367929150998e-15 
      462.0  1.160919979125645e-14  1.801834269531762e-15 
