|Wavelength|                  Flux|            Flux_error|
|    double|                double|                double|
|        nm|           W / (m2 nm)|           W / (m2 nm)|
|      null|                  null|                  null|
      336.0  9.338451360544794e-15 2.7858180078266696e-15 
      338.0  9.281823375659322e-15 2.7246476303679033e-15 
      340.0  8.523148732145541e-15  2.470407939700539e-15 
      342.0  7.759486328946655e-15 2.2004903932677505e-15 
      344.0   7.61279064745655e-15 2.1261529904573996e-15 
      346.0  7.711356332846674e-15 2.1675102335035213e-15 
      348.0  7.522308446402816e-15 2.1387669005660744e-15 
      350.0  7.071969257001249e-15  2.002417932180925e-15 
      352.0   7.22188056402443e-15  2.035104581764429e-15 
      354.0  8.077646718105837e-15 2.3328606050673913e-15 
      356.0   8.37073022235109e-15 2.5001088432815006e-15 
      358.0  7.835049231856762e-15 2.3275040589302905e-15 
      360.0  7.482598496334981e-15  2.134916417623818e-15 
      362.0  7.369702270461055e-15 2.0491912619605547e-15 
      364.0  7.287653944594606e-15  2.052053428387311e-15 
      366.0  7.196832915420398e-15   2.08579310007935e-15 
      368.0  7.255045730916643e-15  2.099461310086824e-15 
      370.0  7.516591915160475e-15  2.150943174696598e-15 
      372.0  7.810542620581765e-15  2.204846974848659e-15 
      374.0  7.894415813057887e-15 2.2268225404986016e-15 
      376.0  7.761536912200703e-15  2.232560825711574e-15 
      378.0  7.813700081969136e-15 2.2778041099927438e-15 
      380.0  8.158273934352111e-15 2.3852875862274023e-15 
      382.0  8.478903442385469e-15 2.4023605450458397e-15 
      384.0  8.539983672114315e-15  2.372389775448065e-15 
      386.0  8.430784219319913e-15 2.3743240652655183e-15 
      388.0  8.366124935759573e-15  2.390661130594236e-15 
      390.0   8.33677943526014e-15 2.4011054340244817e-15 
      392.0   8.22519542654288e-15 2.3391429455653007e-15 
      394.0   7.95332507329335e-15 2.2227673413550655e-15 
      396.0  7.654883956565057e-15  2.138259771789335e-15 
      398.0  7.501865828242372e-15 2.1098213915723495e-15 
      400.0   7.51724032009541e-15  2.127919232213306e-15 
      402.0  7.611090887942221e-15 2.1585947072260524e-15 
      404.0   7.58124085216869e-15 2.1309079106985944e-15 
      406.0  7.392192774333844e-15  2.053876041244935e-15 
      408.0  7.132096024115494e-15  1.974904526554795e-15 
      410.0  6.934223313472049e-15 1.9245779170893973e-15 
      412.0  6.876296070994165e-15 1.9165214333276432e-15 
      414.0  6.960510326345312e-15 1.9463262361292572e-15 
      416.0  7.058644725816349e-15 1.9650062234799237e-15 
      418.0  7.084807176976409e-15  1.952440251655339e-15 
      420.0  7.017870459600219e-15  1.923690363635075e-15 
      422.0 6.8987327572392474e-15  1.895460609988464e-15 
      424.0  6.786926529952785e-15 1.8746607294254764e-15 
      426.0  6.717467355308635e-15  1.867974154510821e-15 
      428.0  6.643522085049159e-15 1.8577151489025306e-15 
      430.0  6.535687864575458e-15 1.8224861681715163e-15 
      432.0  6.368892667850191e-15 1.7540030504368983e-15 
      434.0 6.1637571942504326e-15 1.6758091464365087e-15 
      436.0   5.99435021258533e-15 1.6228090439394706e-15 
      438.0  5.924812189159041e-15 1.6092322183574456e-15 
      440.0  5.946886738791031e-15 1.6248782919200048e-15 
      442.0  6.028855330598501e-15 1.6578661633549751e-15 
      444.0 6.1076038472759814e-15 1.6858141220682374e-15 
      446.0  6.130519899779113e-15 1.6872868785240352e-15 
      448.0 6.0752151369837756e-15 1.6563548683374604e-15 
      450.0  5.956168571694968e-15  1.605929434657851e-15 
      452.0 5.8203067681209285e-15 1.5576215040417375e-15 
      454.0 5.7128889325520556e-15 1.5254826777629958e-15 
      456.0  5.653112045594152e-15 1.5120548362133828e-15 
      458.0  5.646604757172669e-15 1.5165703647432998e-15 
      460.0  5.656938474565412e-15 1.5268670390749309e-15 
      462.0  5.659279947725343e-15 1.5322128312444484e-15 
